(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
"Variación Total Sistema %
 hasta septiembre 2024",3.9,5.6,0.0,8.7,2.2,1.9,6.9,0.1,-27.4,15.3,3.7,-1.5,4.6,4.0,3.7,0.0,5.8,-27.4,12.0,5.2,-9.1,-2.4,-1.5,2.7,1.1,0.0,-4.3,0.0,2.7,48.2,-38.4,60.6,0.0,3.9,0.8,3.1
Total Sistema hasta septiembre 2021,49947.0,8107.0,0.0,8348.0,29825.0,31399.0,694.0,-2268.0,4.0,788.0,110.0,719.0,2045.0,44632.0,39078.0,0.0,217.0,4.0,1808.0,2654.0,151.0,476.0,244.0,5315.0,3878.0,2.0,901.0,2.0,216.0,317.0,54.0,263.0,49947.0,13345.0,63292.0,
Guayaquil hasta septiembre 2021,6062.0,879.0,0.0,1063.0,3749.0,3875.0,51.0,-177.0,0.0,67.0,24.0,121.0,159.0,5487.0,4745.0,0.0,42.0,0.0,170.0,458.0,20.0,50.0,1.0,575.0,450.0,0.0,73.0,0.0,5.0,47.0,0.0,47.0,6062.0,1493.0,7555.0,
Variación Banco Guayaquil Monto hasta septiembre 2021,175.0,23.0,0.0,-66.0,209.0,210.0,2.0,-3.0,0.0,4.0,-1.0,-2.0,8.0,158.0,178.0,0.0,8.0,0.0,13.0,-42.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,17.0,175.0,-33.0,142.0,
Variación Banco Guayaquil % hasta septiembre 2021,3.0,2.7,0.0,-5.8,5.9,5.7,4.2,1.5,0.0,6.1,-2.3,-1.9,5.6,3.0,3.9,0.0,25.0,0.0,8.0,-8.3,0.0,0.0,-2.3,3.2,0.0,0.0,0.0,0.0,27.8,55.1,0.0,55.1,3.0,-2.2,1.9,
Variación Total Sistema Monto hasta septiembre 2021,1397.0,-390.0,0.0,365.0,1495.0,1581.0,-67.0,-19.0,-1.0,0.0,1.0,-6.0,-68.0,1305.0,1090.0,0.0,-8.0,-1.0,146.0,58.0,0.0,4.0,16.0,92.0,34.0,0.0,-30.0,0.0,-2.0,89.0,0.0,89.0,1397.0,546.0,1943.0,
"Variación Total Sistema %
 hasta septiembre 2021",2.9,-4.6,0.0,4.6,5.3,5.3,-8.8,0.9,-19.2,0.0,0.5,-0.8,-3.2,3.0,2.9,0.0,-3.7,-19.2,8.8,2.2,0.0,0.8,7.1,1.8,0.9,0.0,-3.2,0.1,-0.7,39.1,0.0,51.3,2.9,4.3,3.2,
Total Sistema hasta marzo 2024,61102.0,7471.0,0.0,8982.0,39751.0,41238.0,1502.0,-2988.0,48.0,913.0,137.0,803.0,2997.0,54511.0,46210.0,0.0,318.0,48.0,2483.0,4027.0,378.0,616.0,431.0,6591.0,4602.0,1.0,1440.0,2.0,324.0,223.0,77.0,145.0,0.0,61102.0,18851.0,79953.0
Guayaquil hasta marzo 2024,7545.0,797.0,0.0,1148.0,5113.0,5180.0,141.0,-208.0,0.0,78.0,32.0,109.0,269.0,6817.0,5683.0,0.0,59.0,0.0,250.0,693.0,51.0,75.0,6.0,728.0,537.0,0.0,158.0,0.0,7.0,25.0,0.0,25.0,0.0,7545.0,2282.0,9827.0
Variación Banco Guayaquil Monto hasta marzo 2024,165.0,-47.0,0.0,34.0,135.0,130.0,-1.0,7.0,0.0,2.0,0.0,-1.0,43.0,195.0,114.0,0.0,29.0,0.0,-4.0,57.0,-3.0,0.0,1.0,-29.0,0.0,0.0,67.0,0.0,0.0,-96.0,0.0,-96.0,0.0,165.0,-4.0,161.0
